Time-stamp [msec];average number of samplings per node;average hopcount of received frames;average number of received sourced frames per node;relative delivery error [%];average energy of nodes [%];average communication energy of nodes [%];average number of extreme samplings per node;rate of alive nodes [%]
0;0.000000;0.000000;0.000000;0.000000;100.000000;0.000000;0.000000;100.000000
100;0.000000;0.000000;0.000000;0.000000;99.900922;0.000000;0.000000;100.000000
200;0.000000;0.000000;0.000000;0.000000;99.802824;0.000000;0.000000;100.000000
300;0.000000;0.000000;0.000000;0.000000;99.704727;0.000000;0.000000;100.000000
400;0.541667;1.000000;0.041667;92.307692;98.437882;1.066615;0.000000;100.000000
500;0.541667;3.793651;0.525000;3.076923;94.442399;4.623399;0.000000;100.000000
600;0.541667;3.793651;0.525000;3.076923;94.344899;4.623399;0.000000;100.000000
700;0.541667;3.793651;0.525000;3.076923;94.247362;4.623399;0.000000;100.000000
800;0.541667;3.793651;0.525000;3.076923;94.149862;4.623399;0.000000;100.000000
900;0.550000;3.781250;0.533333;3.030303;94.000353;4.670789;0.008333;100.000000
1000;0.550000;3.781250;0.533333;3.030303;93.902853;4.670789;0.008333;100.000000
1100;0.550000;3.781250;0.533333;3.030303;93.805353;4.670789;0.008333;100.000000
1200;0.550000;3.781250;0.533333;3.030303;93.707853;4.670789;0.008333;100.000000
1300;0.550000;3.781250;0.533333;3.030303;93.610353;4.670789;0.008333;100.000000
1400;0.550000;3.781250;0.533333;3.030303;93.512853;4.670789;0.008333;100.000000
1500;0.550000;3.781250;0.533333;3.030303;93.415353;4.670789;0.008333;100.000000
1600;0.550000;3.781250;0.533333;3.030303;93.317853;4.670789;0.008333;100.000000
1700;0.550000;3.781250;0.533333;3.030303;93.220353;4.670789;0.008333;100.000000
1800;0.550000;3.781250;0.533333;3.030303;93.122853;4.670789;0.008333;100.000000
1900;0.558333;3.815385;0.541667;2.985075;92.925820;4.761595;0.016667;100.000000
2000;0.558333;3.815385;0.541667;2.985075;92.828320;4.761595;0.016667;100.000000
2100;0.558333;3.815385;0.541667;2.985075;92.730820;4.761595;0.016667;100.000000
2200;0.566667;3.803030;0.550000;2.941176;92.593263;4.798119;0.025000;100.000000
2300;0.566667;3.803030;0.550000;2.941176;92.495763;4.798119;0.025000;100.000000
